"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SL","2019-10-12","87.3","-2.4244","5.5847","Bryan Abreu",570482,650556,"home_run","hit_into_play_score",,,,,9,"Gio Urshela homers (1) on a fly ball to right field.  ","L","R","R","HOU","NYY","X","null","fly_ball",0,0,2019,"0.3041","-0.4077","0.3073","2.2039","null","null","null",0,9,"Top","206.34","68.81",,,455139,,"191013_025513","5.9364","-126.9572","-1.1334","2.0401","26.2332","-36.5450","3.4300","1.6700","361","102.0","25.6","87.0520","2710","6.1870",599357,650556,455139,493329,514888,608324,621043,649557,543807,488726,"54.3126","0.784","1.424","2.00",1,0,3,6,61,"1","Slider",0,5,5,0,5,0,5,0,"Standard","Standard"
"FF","2019-10-12","91.7","-0.9836","6.3963","Zack Greinke",519317,425844,"home_run","hit_into_play_score",,,,,8,"Giancarlo Stanton homers (1) on a fly ball to center field.  ","L","R","R","HOU","NYY","X","null","fly_ball",3,2,2019,"-0.1488","1.3422","-0.1310","1.9953","null","null","null",2,6,"Top","171.92","32.95",,,455139,,"191013_014853","2.4537","-133.3675","-8.0963","-2.2515","26.7312","-14.9017","3.7500","1.8100","406","110.7","21.0","91.3310","2329","5.9430",599357,425844,455139,493329,514888,608324,621043,488726,543807,663656,"54.5563","0.950","1.727","2.00",1,0,3,6,38,"8","4-Seam Fastball",0,2,2,0,2,0,2,0,"Strategic","Standard"
"FF","2019-10-12","90.9","-1.1973","6.3175","Zack Greinke",650402,425844,"home_run","hit_into_play_score",,,,,2,"Gleyber Torres homers (1) on a fly ball to left field.  ","L","R","R","HOU","NYY","X","null","fly_ball",0,0,2019,"0.0001","1.5184","0.1721","2.6920","null","null","null",1,6,"Top","48.02","76.18",,,455139,,"191013_014241","3.4031","-132.2510","-6.3349","-0.7009","27.3035","-13.5360","3.1600","1.5200","343","94.5","37.8","90.3170","2404","5.8700",599357,425844,455139,493329,514888,608324,621043,488726,543807,663656,"54.6290","0.045","0.083","2.00",1,0,3,3,36,"1","4-Seam Fastball",0,1,1,0,1,0,1,0,"Infield shift","Standard"
"FC","2019-10-12","83.5","-1.4924","6.1135","Adam Wainwright",572191,425794,"home_run","hit_into_play_score",,,,,1,"Michael A.   Taylor homers (1) on a fly ball to left field.  ","L","R","R","STL","WSH","X","null","fly_ball",0,0,2019,"0.4353","0.5538","-0.2984","2.8611","null","null","null",0,3,"Top","26.69","72.75",,,425877,,"191012_205059","1.8974","-121.6858","-2.2136","3.9927","21.3435","-26.4846","3.3600","1.5500","377","106.2","38.8","83.7550","2259","6.1390",599365,425794,425877,502671,543939,572761,657557,542303,451594,669242,"54.3603","0.500","1.004","2.00",1,0,3,6,15,"1","Cutter",0,0,0,0,0,0,0,0,"Standard","Standard"
"FF","2019-10-10","96.6","-1.6368","5.6600","Emilio Pagan",514888,641941,"home_run","hit_into_play_score",,,,,2,"Jose Altuve homers (3) on a fly ball to left center field.  ","D","R","R","HOU","TB","X","null","fly_ball",3,1,2019,"-0.1701","1.4986","0.2532","2.8961","null","null","null",0,8,"Bot","94.04","30.44",,,518595,,"191011_015803","5.4416","-140.6054","-5.2257","-3.5415","33.1591","-11.2633","2.9200","1.3800","405","103.6","25.8","96.7870","2496","6.4720",599341,641941,518595,596847,519299,621563,642715,640457,595281,541645,"54.0276","0.905","1.776","2.00",1,0,3,6,57,"5","4-Seam Fastball",5,1,5,1,1,5,5,1,"Infield shift","Standard"
"FF","2019-10-10","95.7","-1.6874","5.7289","Emilio Pagan",488726,641941,"home_run","hit_into_play_score",,,,,2,"Michael Brantley homers (1) on a line drive to right field.  ","D","L","R","HOU","TB","X","null","line_drive",1,0,2019,"-0.3246","1.5233","-0.0482","3.2257","null","null","null",0,8,"Bot","215.60","71.56",,,518595,,"191011_015446","5.1016","-139.2018","-4.4445","-5.4890","34.1661","-11.4144","3.4000","1.5800","367","106.8","21.2","95.9740","2576","6.6820",599341,641941,518595,596847,519299,621563,642715,640457,595281,541645,"53.8177","0.897","1.540","2.00",1,0,3,6,56,"2","4-Seam Fastball",4,1,4,1,1,4,4,1,"Infield shift","Standard"
"FF","2019-10-10","95.1","-1.9595","5.9817","Gerrit Cole",519299,543037,"home_run","hit_into_play_score",,,,,6,"Eric Sogard homers (1) on a fly ball to right field.  ","D","L","R","HOU","TB","X","null","fly_ball",0,0,2019,"-0.9727","1.4031","0.6209","2.2343","null","null","null",0,2,"Top","203.26","58.65",,,455117,,"191010_233641","8.8570","-137.9435","-7.1775","-14.3101","31.9577","-13.0667","2.9400","1.4700","377","98.0","26.8","94.2680","2436","6.0740",599341,543037,455117,493329,514888,608324,621043,488726,543807,502210,"54.4260","0.424","0.699","2.00",1,0,3,6,13,"1","4-Seam Fastball",4,0,0,4,0,4,0,4,"Standard","Standard"
"FF","2019-10-09","97.0","-1.5727","5.2986","Joe Kelly",435062,523260,"home_run","hit_into_play_score",,,,,4,"Howie Kendrick hits a grand slam (1) to center field.   Adam Eaton scores.    Anthony Rendon scores.    Juan Soto scores.  ","D","R","R","LAD","WSH","X","null","fly_ball",0,1,2019,"-0.9902","1.2657","-0.6240","1.9186",594809,543685,665742,0,10,"Top","142.34","26.10",,,669257,,"191010_042248","4.8207","-141.1604","-6.4120","-14.3730","32.5608","-13.9579","3.0308","1.3900","410","105.0","24.9","97.2120","2334","6.4360",599351,523260,669257,571970,571771,457759,608369,621035,641355,592626,"54.0636","0.926","1.775","2.00",1,0,3,6,77,"2","4-Seam Fastball",3,3,3,3,3,3,3,3,"Strategic","Strategic"
"SL","2019-10-09","89.3","1.3229","6.4386","Clayton Kershaw",665742,477132,"home_run","hit_into_play_score",,,,,6,"Juan Soto homers (2) on a fly ball to center field.  ","D","L","L","LAD","WSH","X","null","fly_ball",0,0,2019,"-0.0299","0.8923","0.4063","2.6163","null","null","null",0,8,"Top","170.97","13.15",,,669257,,"191010_033234","-2.1715","-129.8050","-5.1412","0.1466","28.5029","-21.4451","3.1207","1.5200","449","110.0","25.6","88.2250","2685","5.7880",599351,477132,669257,571970,571771,457759,608369,621035,641355,592626,"54.7118","0.987","2.010","2.00",1,0,3,6,59,"1","Slider",3,2,2,3,2,3,2,3,"Strategic","Standard"
"FF","2019-10-09","89.4","1.2689","6.4653","Clayton Kershaw",543685,477132,"home_run","hit_into_play_score",,,,,13,"Anthony Rendon homers (1) on a fly ball to left center field.  ","D","R","L","LAD","WSH","X","null","fly_ball",1,0,2019,"-0.6556","1.2665","-0.3263","1.1623","null","null","null",0,8,"Top","53.10","54.74",,,669257,,"191010_033136","-2.5508","-129.8918","-9.6022","-6.7946","26.9927","-16.2614","3.2171","1.5594","381","97.2","28.6","88.7670","2796","5.9630",599351,477132,669257,571970,571771,457759,608369,621035,641355,592626,"54.5368","0.368","0.690","2.00",1,0,3,5,58,"2","4-Seam Fastball",3,1,1,3,1,3,1,3,"Infield shift","Standard"
"SL","2019-10-09","88.3","-2.6219","5.4137","Jack Flaherty",518626,656427,"home_run","hit_into_play_score",,,,,9,"Josh Donaldson homers (1) on a fly ball to center field.  ","D","R","R","ATL","STL","X","null","fly_ball",1,1,2019,"0.4385","0.4317","0.6298","2.0549","null","null","null",1,4,"Bot","107.52","21.55",,,425877,,"191009_224245","6.9866","-128.4846","-3.0212","3.5248","24.2915","-27.0406","3.3680","1.7593","421","104.2","26.3","88.3110","2552","6.1030",599356,656427,425877,502671,543939,669242,657557,542303,664056,451594,"54.3964","0.905","1.776","2.00",1,0,3,6,44,"3","Slider",0,13,0,13,13,0,0,13,"Standard","Standard"
"FF","2019-10-09","93.5","-2.3998","5.8666","Stephen Strasburg",571771,544931,"home_run","hit_into_play_score",,,,,5,"Enrique Hernandez homers (1) on a fly ball to center field.  ","D","R","R","LAD","WSH","X","null","fly_ball",1,0,2019,"-1.0175","1.1563","-0.1451","2.2562","null","null","null",0,2,"Bot","96.60","42.14",,,435559,,"191010_011031","8.1017","-135.9080","-6.1518","-14.4496","28.8940","-16.6009","3.4285","1.6656","392","105.5","40.3","93.9720","2323","6.5590",599351,544931,435559,475582,435062,543685,607208,665742,572191,594809,"53.9401","0.368","0.724","2.00",1,0,3,6,14,"2","4-Seam Fastball",2,0,2,0,0,2,2,0,"Standard","Standard"
